District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
2248,Fossil SD 21J,Wheeler,Jon McMurray,1764,*,4,8%,28%,9%,1,42,3,1,0,0,0,77%,>95%,Increase,>2%,62%,66%,Increase,4%,40%,37%,Decrease,12%,26%,*,Unavailable,,84%,80%,Increase,80%,81%,0%,Decrease,100%,87%
2020,Frenchglen SD 16,Harney,Carolyn Koskela,6,*,1,*,*,*,0,2,0,0,0,0,0,50%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
2245,Gaston SD 511J,Washington,Summer Catino,488,6%,4,17%,45%,8%,3,34,15,2,1,<1,0,59%,61%,Decrease,1%,62%,52%,Increase,11%,40%,<5%,Decrease,>1%,26%,>95%,Increase,>17%,84%,79%,Decrease,15%,81%,94%,Decrease,2%,87%
2137,Gervais SD 1,Marion,Dandy Stevens,1260,40%,10,16%,81%,22%,9,85,27,4,0,1,0,81%,68%,Decrease,2%,62%,26%,Increase,3%,40%,22%,Decrease,3%,26%,73%,Increase,1%,84%,88%,Increase,7%,81%,89%,Increase,6%,87%
1931,Gladstone SD 115,Clackamas,Bob Stewart,1636,10%,23,16%,37%,12%,10,106,13,6,<1,2,0,85%,65%,Increase,1%,62%,49%,Decrease,3%,40%,25%,Increase,5%,26%,85%,Increase,3%,84%,87%,Increase,1%,81%,92%,Decrease,1%,87%
2000,Glendale SD 77,Douglas,Bridget McMillen,279,*,8,18%,>95%,23%,2,21,14,1,0,1,0,44%,58%,Increase,24%,62%,33%,Decrease,4%,40%,<5%,Decrease,>13%,26%,74%,Decrease,9%,84%,83%,No Change,,81%,86%,Increase,18%,87%
1992,Glide SD 12,Douglas,Robert Freeman,710,*,4,16%,>95%,17%,5,48,15,1,0,0,0,63%,61%,Decrease,2%,62%,32%,Decrease,11%,40%,13%,Decrease,3%,26%,93%,Increase,4%,84%,90%,Decrease,1%,81%,93%,Decrease,3%,87%
2054,Grants Pass SD 7,Josephine,Tim Sweeney,5554,<5%,20,16%,>95%,16%,21,297,165,13,1,0,0,84%,70%,Increase,2%,62%,39%,Increase,5%,40%,28%,No Change,,26%,77%,Increase,1%,84%,79%,Increase,2%,81%,86%,Increase,1%,87%
2100,Greater Albany Public SD 8J,Linn,Andy Gardner,8798,14%,31,15%,36%,14%,33,490,229,26,4,2,0,71%,57%,Decrease,5%,62%,36%,Decrease,2%,40%,24%,Increase,3%,26%,75%,Increase,1%,84%,82%,Increase,2%,81%,89%,Decrease,5%,87%
2183,Gresham-Barlow SD 10J,Multnomah,James Hiu,11380,25%,91,14%,46%,18%,43,602,174,35,<1,8,<1,71%,55%,Decrease,8%,62%,34%,Increase,5%,40%,17%,Decrease,2%,26%,81%,Increase,2%,84%,75%,Increase,1%,81%,78%,Decrease,4%,87%
